id,section_number,title,short_description,mapped_category,punishment,bailability_status,court_jurisdiction,full_legal_text,urgency_label
202,202,Intentional omission to give information of offence by person bound to inform,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
203,203,Giving false information respecting an offence committed,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
204,204,Destruction of document or electronic record to prevent its production as evidence,"Whoever secrets or destroys any document or electronic record which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document or electronic record with the intention of preventing the same from being produced or used as evidence before such Court or public servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for that purpose.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever secrets or destroys any document or electronic record which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document or electronic record with the intention of preventing the same from being produced or used as evidence... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
205,205,False personation for purpose of act or proceeding in suit or prosecution,"Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 3 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
206,206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,"Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
207,207,Fraudulent claim to property to prevent its seizure as forfeited or in execution,"Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
208,208,Fraudulently suffering decree for sum not due,"Whoever fraudulently causes or suffers a decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum than is due to such person or for any property or interest in property to which such person is not entitled, or fraudulently causes or suffers a decree or order to be executed against him after it has been satisfied, or for anything in respect of which it has been satisfied, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever fraudulently causes or suffers a decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum than is due to such person or for any property or interest in property to which such person is not entitled... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
209,209,Dishonestly making false claim in Court,"Whoever fraudulently or dishonestly, or with intent to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.",False Evidence and Offences Against Public Justice,Imprisonment for 2 years and fine.,Bailable,Magistrate of the first class,"Whoever fraudulently or dishonestly, or with intent to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.",Low
210,210,Fraudulently obtaining decree for sum not due,"Whoever fraudulently obtains a decree or order against any person for a sum not due, or for a larger sum than is due or for any property or interest in property to which he is not entitled, or fraudulently causes a decree or order to be executed against any person after it has been satisfied or for anything in respect of which it has been satisfied, or fraudulently suffers or permits any such act to be done in his name, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever fraudulently obtains a decree or order against any person for a sum not due or for a larger sum than is due, or for any property or interest in property to which he is not entitled... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
211,211,False charge of offence made with intent to injure,"Whoever, with intent to cause injury to any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely charges any person with having committed an offence, knowing that there is no just or lawful ground for such proceeding or charge against that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years or fine or both; if charge is of a serious offence, 7 years and fine.",Bailable,Magistrate of the first class,"Whoever, with intent to cause injury to any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely charges any person with having committed an offence, knowing that there is no just or lawful ground for such proceeding or charge against that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both; and if such criminal proceeding be instituted on a false charge of an offence punishable with death, imprisonment for life, or imprisonment for seven years or upwards, shall be punishable with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
212,212,Harbouring offender,"Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment.",False Evidence and Offences Against Public Justice,"If a capital offence, imprisonment for 5 years and fine; if punishable with imprisonment for life or 10 years, 3 years and fine; if with less than 10 years' imprisonment, 1/4 part of punishment for offence.",Bailable,Magistrate of the first class,"Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment, shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine...",Low
213,213,"Taking gift, etc., to screen an offender from punishment","Whoever accepts or attempts to obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property to himself or any other person, in consideration of his concealing an offence or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment.",False Evidence and Offences Against Public Justice,"If a capital offence, imprisonment for 7 years and fine; if punishable with imprisonment for life or 10 years, 3 years and fine; if with less than 10 years' imprisonment, 1/4 part of punishment for offence.",Bailable,Magistrate of the first class,"Whoever accepts or attempts to obtain, or agrees to accept, any gratification for himself or any other person... in consideration of his concealing an offence or of his screening any person from legal punishment for any offence... shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine...",Low
214,214,Offering gift or restoration of property in consideration of screening offender,"Whoever gives or causes, or offers or agrees to give or cause, any gratification to any person, or restores or causes the restoration of any property to any person, in consideration of that person's concealing an offence, or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment.",False Evidence and Offences Against Public Justice,"If a capital offence, imprisonment for 7 years and fine; if punishable with imprisonment for life or 10 years, 3 years and fine; if with less than 10 years' imprisonment, 1/4 part of punishment for offence.",Bailable,Magistrate of the first class,"Whoever gives or causes, or offers or agrees to give or cause, any gratification to any person, or restores or causes the restoration of any property to any person, in consideration of that person’s concealing an offence... shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine...",Low
215,215,"Taking gift to help to recover stolen property, etc.","Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
216,216,Harbouring offender who has escaped from custody or whose apprehension has been ordered,"Whenever any person convicted of or charged with an offence, being in lawful custody for that offence, escapes from such custody, or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a certain person to be apprehended for an offence, whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended.",False Evidence and Offences Against Public Justice,"If a capital offence, imprisonment for 7 years and fine; if punishable with imprisonment for life or 10 years, 3 years and fine; if with less than 10 years' imprisonment, 1/4 part of punishment for offence.",Bailable,Magistrate of the first class,"Whenever any person convicted of or charged with an offence, being in lawful custody for that offence, escapes from such custody... whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended, shall be punished in the manner following, that is to say,— if the offence for which the person was in custody or is ordered to be apprehended is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine...",Low
216A,216A,Penalty for harbouring robbers or dacoits,"Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",False Evidence and Offences Against Public Justice,Rigorous imprisonment for 7 years and fine.,Bailable,Magistrate of the first class,"Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",High
217,217,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,"Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a less punishment than that to which he is liable, or with intent to save, or knowing that he is likely to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save... any person from legal punishment... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
218,218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,"Whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or with intent to save... any property from forfeiture.",False Evidence and Offences Against Public Justice,"Imprisonment for 3 years, or fine, or both.",Bailable,Magistrate of the first class,"Whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause... loss or injury to the public or to any person, or with intent thereby to save... any person from legal punishment... shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
219,219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 7 years, or fine, or both.",Bailable,Court of Session,"Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Low
220,220,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law,"Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or to confinement, or keeps any person in confinement, in the exercise of that authority knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 7 years, or fine, or both.",Bailable,Court of Session,"Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement... corruptly or maliciously commits any person for trial or to confinement... knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Low
221,221,Intentional omission to apprehend on the part of public servant bound to apprehend,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement.",False Evidence and Offences Against Public Justice,"If for capital offence, imprisonment for 7 years; if for offence punishable with imprisonment for life or 10 years, 3 years; if for less than 10 years, 2 years.",Bailable,Magistrate of the first class,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person... shall be punished as follows... if the person in confinement, or who ought to have been apprehended, is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, with or without fine...",Low
222,222,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement.",False Evidence and Offences Against Public Justice,"If under sentence of death, imprisonment for life or 14 years; if under sentence of imprisonment for 10 years or upwards, 7 years; if under sentence of imprisonment for less than 10 years, 3 years.",Bailable,Court of Session,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence... intentionally omits to apprehend such person... shall be punished as follows... if the person in confinement, or who ought to have been apprehended, is under sentence of death, he shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to fourteen years...",Low
223,223,Escape from confinement or custody negligently suffered by public servant,"Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Simple imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",Low
224,224,Resistance or obstruction by a person to his lawful apprehension,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
225,225,Resistance or obstruction to lawful apprehension of another person,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"If for offence punishable with imprisonment for life or 10 years, 3 years and fine; if for capital offence, 7 years and fine; if under sentence of death, imprisonment for life or 10 years and fine.",Bailable,Magistrate of the first class,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both...",Low
225A,225A,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for","Whoever, being a public servant legally bound as such public servant to apprehend, or to keep in confinement, any person in any case not provided for in section 221, section 222 or section 223, or in any other law for the time being in force, omits to apprehend that person or suffers him to escape from confinement, shall be punished.",False Evidence and Offences Against Public Justice,"If intentional, imprisonment for 3 years, or fine, or both; if negligent, simple imprisonment for 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever, being a public servant legally bound as such public servant to apprehend, or to keep in confinement, any person in any case not provided for in section 221, section 222 or section 223, or in any other law for the time being in force, omits to apprehend that person or suffers him to escape from confinement, shall be punished— (a) if he does so intentionally, with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and (b) if he does so negligently, with simple imprisonment for a term which may extend to two years, or with fine, or with both.",Low
225B,225B,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for","Whoever, in any case not provided for in section 224 or section 225 or in any other law for the time being in force, intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself or of any other person, or escapes or attempts to escape from any custody in which he is lawfully detained, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 6 months, or fine, or both.",Bailable,Any Magistrate,"Whoever, in any case not provided for in section 224 or section 225 or in any other law for the time being in force, intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself or of any other person, or escapes or attempts to escape from any custody in which he is lawfully detained, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Low
226,226,Unlawful return from transportation,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955.",False Evidence and Offences Against Public Justice,Repealed,Repealed,Repealed,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955).",Low
227,227,Violation of condition of remission of punishment,"Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.",False Evidence and Offences Against Public Justice,"Punishment of original sentence, or part remaining.",Non-Bailable,Court by which original offence was triable,"Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.",Low
228,228,Intentional insult or interruption to public servant sitting in judicial proceeding,"Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",False Evidence and Offences Against Public Justice,"Simple imprisonment for 6 months, or fine of 1000 rupees, or both.",Bailable,"Court in which offence is committed, or if not in a court, any Magistrate","Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Low
228A,228A,Disclosure of identity of the victim of certain offences etc.,"Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, 376A, 376B, 376C or 376D is alleged or found to have been committed shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.",False Evidence and Offences Against Public Justice,Imprisonment for 2 years and fine.,Bailable,Any Magistrate,"Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, 376A, 376B, 376C or 376D is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.",Low
229,229,Personation of a juror or assessor,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 2 years, or fine, or both.",Bailable,Court of Session,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn... shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
229A,229A,Failure by person released on bail or bond to appear in Court,"Whoever, having been charged with an offence and released on bail or on his own bond, fails without sufficient cause to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",False Evidence and Offences Against Public Justice,"Imprisonment for 1 year, or fine, or both.",Bailable,Magistrate of the first class,"Whoever, having been charged with an offence and released on bail or on his own bond in accordance with the provisions of the Code of Criminal Procedure, 1973, fails without sufficient cause (the burden of proving which shall lie upon him) to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Low
230,230,“Coin” defined,"Coin is metal used for the time being as money, and stamped and issued by the authority of some State or Sovereign Power in order to be so used.",Offences relating to Coin and Government Stamps,Not Applicable,Not Applicable,Not Applicable,"Coin is metal used for the time being as money, and stamped and issued by the authority of some State or Sovereign Power in order to be so used. Indian coin is metal stamped and issued by the authority of the Government of India in order to be used as money; and the metal which has been so stamped and issued shall continue to be Indian coin for the purposes of this Chapter, notwithstanding that it may have ceased to be used as money.",Low
231,231,Counterfeiting coin,"Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,Imprisonment for 7 years and fine.,Non-Bailable,Court of Session,"Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
232,232,Counterfeiting Indian coin,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,"Imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Medium
233,233,Making or selling instrument for counterfeiting coin,"Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,Imprisonment for 3 years and fine.,Non-Bailable,Magistrate of the first class,"Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Medium
234,234,Making or selling instrument for counterfeiting Indian coin,"Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting Indian coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,Imprisonment for 7 years and fine.,Non-Bailable,Court of Session,"Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting Indian coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
235,235,Possession of instrument or material for the purpose of using the same for counterfeiting coin,"Whoever is in possession of any instrument or material, for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,"Imprisonment for 3 years and fine; if Indian coin, 10 years and fine.",Non-Bailable,Magistrate of the first class,"Whoever is in possession of any instrument or material, for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the coin to be counterfeited is Indian coin, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Medium
236,236,Abetting in India the counterfeiting out of India of coin,"Whoever, being within India, abets the counterfeiting of coin out of India shall be punished in the same manner as if he abetted the counterfeiting of such coin within India.",Offences relating to Coin and Government Stamps,Same as for abetting counterfeiting within India,Same as for original offence,Court by which original offence is triable,"Whoever, being within India, abets the counterfeiting of coin out of India shall be punished in the same manner as if he abetted the counterfeiting of such coin within India.",Medium
237,237,Import or export of counterfeit coin,"Whoever imports into India, or exports therefrom, any counterfeit coin, knowing or having reason to believe that the same is counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,Imprisonment for 3 years and fine.,Non-Bailable,Magistrate of the first class,"Whoever imports into India, or exports therefrom, any counterfeit coin, knowing or having reason to believe that the same is counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Low
238,238,Import or export of counterfeits of Indian coin,"Whoever imports into India, or exports therefrom, any counterfeit coin which he knows or has reason to believe to be a counterfeit of Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,"Imprisonment for life, or 10 years, and fine.",Non-Bailable,Court of Session,"Whoever imports into India, or exports therefrom, any counterfeit coin which he knows or has reason to believe to be a counterfeit of Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
239,239,"Delivery of coin, possessed with knowledge that it is counterfeit","Whoever, having any counterfeit coin in his possession which at the time when he became possessed of it he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.",Offences relating to Coin and Government Stamps,Imprisonment for 5 years and fine.,Non-Bailable,Magistrate of the first class,"Whoever, having any counterfeit coin in his possession which at the time when he became possessed of it he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.",Low
